Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Normal Case,,,,13-02-2024 12:05:39,13-02-2024 12:09:24,3m - 45.002s,PASSED
,,,,,,,
Test Cases/Normal/Add To Chart - Electronic,,,,13-02-2024 12:05:39,13-02-2024 12:06:38,58.955s,PASSED
"startApplication(""C:\Users\masep\Documents\Bootcamp\Assignment\Mobile\Android-Solodroid_E-CommerceApp Demo_3.2.0.apk\Solodroid_E-CommerceApp Demo_3.2.0.apk"", true)",,,,13-02-2024 12:05:40,13-02-2024 12:06:19,38.160s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart/android.widget.FrameLayout""), 0)",,,,13-02-2024 12:06:19,13-02-2024 12:06:23,4.685s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart/android.widget.TextView - Electronics  Gadgets""), 0)",,,,13-02-2024 12:06:23,13-02-2024 12:06:24,1.014s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart/android.widget.ImageView""), 0)",,,,13-02-2024 12:06:24,13-02-2024 12:06:26,1.806s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart/android.widget.Button - ADD TO CART""), 0)",,,,13-02-2024 12:06:26,13-02-2024 12:06:30,3.608s,PASSED
"setText(findTestObject(""Object Repository/Add to Cart/android.widget.EditText""), ""2"", 0)",,,,13-02-2024 12:06:30,13-02-2024 12:06:32,2.439s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart/android.widget.Button - ADD""), 0)",,,,13-02-2024 12:06:32,13-02-2024 12:06:33,1.129s,PASSED
pressBack(),,,,13-02-2024 12:06:33,13-02-2024 12:06:34,1.145s,PASSED
pressBack(),,,,13-02-2024 12:06:34,13-02-2024 12:06:36,1.822s,PASSED
closeApplication(),,,,13-02-2024 12:06:36,13-02-2024 12:06:36,0.004s,NOT_RUN
Video,,,,13-02-2024 12:06:38,13-02-2024 12:06:38,0.001s,PASSED
,,,,,,,
Test Cases/Normal/Add To Cart - Fashions,,,,13-02-2024 12:06:38,13-02-2024 12:07:10,31.634s,PASSED
"startApplication(""C:\Users\masep\Documents\Bootcamp\Assignment\Mobile\Android-Solodroid_E-CommerceApp Demo_3.2.0.apk\Solodroid_E-CommerceApp Demo_3.2.0.apk"", true)",,,,13-02-2024 12:06:39,13-02-2024 12:06:48,9.801s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart/android.widget.FrameLayout""), 0)",,,,13-02-2024 12:06:48,13-02-2024 12:06:54,5.741s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart All Products/android.widget.TextView - Fashions""), 0)",,,,13-02-2024 12:06:54,13-02-2024 12:06:57,2.850s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart All Products/android.widget.ImageView""), 0)",,,,13-02-2024 12:06:57,13-02-2024 12:06:58,0.955s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart All Products/android.widget.Button - ADD TO CART""), 0)",,,,13-02-2024 12:06:58,13-02-2024 12:07:01,2.961s,PASSED
"setText(findTestObject(""Object Repository/Add to Cart All Products/android.widget.EditText""), ""3"", 0)",,,,13-02-2024 12:07:01,13-02-2024 12:07:04,3.266s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart All Products/android.widget.Button - ADD""), 0)",,,,13-02-2024 12:07:04,13-02-2024 12:07:05,0.926s,PASSED
pressBack(),,,,13-02-2024 12:07:05,13-02-2024 12:07:07,1.523s,PASSED
pressBack(),,,,13-02-2024 12:07:07,13-02-2024 12:07:08,1.357s,PASSED
Video,,,,13-02-2024 12:07:10,13-02-2024 12:07:10,0.001s,PASSED
,,,,,,,
Test Cases/Normal/Add To Cart - Furniture,,,,13-02-2024 12:07:10,13-02-2024 12:07:46,35.471s,PASSED
"startApplication(""C:\Users\masep\Documents\Bootcamp\Assignment\Mobile\Android-Solodroid_E-CommerceApp Demo_3.2.0.apk\Solodroid_E-CommerceApp Demo_3.2.0.apk"", true)",,,,13-02-2024 12:07:10,13-02-2024 12:07:23,13.184s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart/android.widget.FrameLayout""), 0)",,,,13-02-2024 12:07:23,13-02-2024 12:07:29,5.899s,PASSED
