Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Abnormal Case,,,,13-02-2024 12:12:32,13-02-2024 12:16:04,3m - 31.851s,PASSED
,,,,,,,
Test Cases/Ubnormal/Add To Cart - Fashions - Out of Stock,,,,13-02-2024 12:12:32,13-02-2024 12:13:29,56.426s,PASSED
"startApplication(""C:\Users\masep\Documents\Bootcamp\Assignment\Mobile\Android-Solodroid_E-CommerceApp Demo_3.2.0.apk\Solodroid_E-CommerceApp Demo_3.2.0.apk"", true)",,,,13-02-2024 12:12:33,13-02-2024 12:13:08,34.915s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart/android.widget.FrameLayout""), 0)",,,,13-02-2024 12:13:08,13-02-2024 12:13:13,5.261s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart All Products/android.widget.TextView - Fashions""), 0)",,,,13-02-2024 12:13:13,13-02-2024 12:13:15,2.487s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart All Products/android.widget.ImageView""), 0)",,,,13-02-2024 12:13:15,13-02-2024 12:13:19,3.821s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart All Products/android.widget.Button - ADD TO CART""), 0)",,,,13-02-2024 12:13:19,13-02-2024 12:13:20,0.860s,PASSED
"setText(findTestObject(""Object Repository/Add to Cart All Products/android.widget.EditText""), ""50"", 0)",,,,13-02-2024 12:13:20,13-02-2024 12:13:23,3.204s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart All Products/android.widget.Button - ADD""), 0)",,,,13-02-2024 12:13:23,13-02-2024 12:13:24,1.112s,PASSED
pressBack(),,,,13-02-2024 12:13:24,13-02-2024 12:13:26,1.578s,PASSED
pressBack(),,,,13-02-2024 12:13:26,13-02-2024 12:13:27,0.604s,PASSED
Video,,,,13-02-2024 12:13:29,13-02-2024 12:13:29,0.002s,PASSED
,,,,,,,
Test Cases/Ubnormal/Add To Cart - Furniture - Out Of Stock,,,,13-02-2024 12:13:29,13-02-2024 12:14:07,37.939s,PASSED
"startApplication(""C:\Users\masep\Documents\Bootcamp\Assignment\Mobile\Android-Solodroid_E-CommerceApp Demo_3.2.0.apk\Solodroid_E-CommerceApp Demo_3.2.0.apk"", true)",,,,13-02-2024 12:13:29,13-02-2024 12:13:42,12.983s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart/android.widget.FrameLayout""), 0)",,,,13-02-2024 12:13:42,13-02-2024 12:13:48,6.469s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart All Products/android.widget.TextView - Home  Furniture""), 0)",,,,13-02-2024 12:13:48,13-02-2024 12:13:51,2.521s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart All Products/android.widget.ImageView (2)""), 0)",,,,13-02-2024 12:13:51,13-02-2024 12:13:53,2.495s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart All Products/android.widget.Button - ADD TO CART""), 0)",,,,13-02-2024 12:13:53,13-02-2024 12:13:56,3.184s,PASSED
"setText(findTestObject(""Object Repository/Add to Cart All Products/android.widget.EditText""), ""50"", 0)",,,,13-02-2024 12:13:56,13-02-2024 12:14:00,4.025s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart All Products/android.widget.Button - ADD""), 0)",,,,13-02-2024 12:14:00,13-02-2024 12:14:02,1.142s,PASSED
pressBack(),,,,13-02-2024 12:14:02,13-02-2024 12:14:03,1.143s,PASSED
pressBack(),,,,13-02-2024 12:14:03,13-02-2024 12:14:05,1.778s,PASSED
Video,,,,13-02-2024 12:14:07,13-02-2024 12:14:07,0.000s,PASSED
,,,,,,,
Test Cases/Ubnormal/Add To Chart - Baby Gear - Out Of Stock,,,,13-02-2024 12:14:07,13-02-2024 12:14:37,30.295s,PASSED
"startApplication(""C:\Users\masep\Documents\Bootcamp\Assignment\Mobile\Android-Solodroid_E-CommerceApp Demo_3.2.0.apk\Solodroid_E-CommerceApp Demo_3.2.0.apk"", true)",,,,13-02-2024 12:14:07,13-02-2024 12:14:17,9.810s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart/android.widget.FrameLayout""), 0)",,,,13-02-2024 12:14:17,13-02-2024 12:14:22,5.257s,PASSED
"tap(findTestObject(""Object Repository/Add to Cart All Products/android.widget.TextView - Baby Gear""), 0)",,,,13-02-2024 12:14:22,13-02-2024 12:14:25,3.467s,PASSED
